# --- Product-Specific Synonyms with Domain Keyword ---
soda: soft drink, pop, beverages
ciabatta bread: italian ciabatta, rustic bread, bakery
sourdough bread: fermented bread, tangy bread, bakery
focaccia: italian flatbread, herb focaccia, bakery
danish pastries: danish, fruit pastry, bakery
misc. beverages: assorted drinks, mixed beverages, beverages
liquor (appetizer): aperitif liquor, starter liquor, beverages
liqueur: dessert liquor, sweet liquor, beverages
rum: spiced rum, dark rum, beverages
red/blush wine: rosé wine, red wine, beverages
fruit/vegetable juice: fresh juice, natural juice, beverages
coconut water: coco water, tropical water, beverages
energy drink: sports drink, energizer, beverages
kombucha: probiotic tea, fermented tea, beverages
iced tea: cold tea, chilled tea, beverages
sparkling water: fizzy water, soda water, beverages
mineral water: spring water, natural water, beverages
lemonade: lemon drink, citrus soda, beverages
apple cider: cider, apple juice, beverages
hard cider: dry cider, fermented cider, beverages
uht-milk: long-life milk, shelf-stable milk, dairy
whipped/sour cream: whipped cream, sour cream, dairy
cream cheese: cheese spread, soft cream cheese, dairy
curd: dairy curd, milk curd, dairy
domestic eggs: table eggs, chicken eggs, dairy
frozen chicken: frozen poultry, chicken fillet, frozen
frozen potato products: frozen fries, potato bites, frozen
frozen meals: ready meals, frozen dinners, frozen
frozen fish: frozen seafood, fish fillets, frozen
packaged fruit/vegetables: prepacked produce, packaged produce, frozen
frozen fruits: frozen berries, frozen produce, frozen
pip fruit: pitted fruit, small fruits, frozen
other vegetables: assorted vegetables, mixed vegetables, vegetables
citrus fruit: vitamin C fruit, tangy fruit, fruits
tropical fruit: exotic fruit, warm-climate fruit, fruits
berries: small fruit, antioxidant fruit, fruits
onions: bulb onions, allium, vegetables
pot plants: potted plants, indoor plants, garden
specialty vegetables: exotic vegetables, gourmet vegetables, vegetables
flower (seeds): flower seeds, blossom seeds, garden
avocado: alligator pear, butter fruit, fruits
banana: plantain, yellow fruit, fruits
apple: red apple, green apple, fruits
pear: asian pear, anjou pear, fruits
kiwi fruit: kiwi, fuzzy fruit, fruits
mango: tropical mango, sweet mango, fruits
pineapple: ananas, tropical pineapple, fruits
pomegranate: ruby fruit, arils fruit, fruits
blueberries: blue berry, small berries, fruits
strawberries: garden berries, red strawberries, fruits
raspberries: red raspberries, tart berries, fruits
blackberries: black berries, wild blackberries, fruits
cranberries: cranberry, sour berries, fruits
figs: fig fruit, sweet figs, fruits
apricots: apricot, dried apricot, fruits
peaches: peach, fuzzy peach, fruits
plums: plum, juicy plum, fruits
nectarines: nectarine, smooth peach, fruits
cherries: cherry, red cherries, fruits
persimmons: persimmon, sweet persimmon, fruits
baby carrots: mini carrots, small carrots, vegetables
cherry tomatoes: grape tomatoes, sweet tomatoes, vegetables
cucumber: slicing cucumber, salad cucumber, vegetables
shopping bags: tote bags, reusable bags, household
cling film/bags: plastic wrap, cling film, household
light bulbs: bulbs, LED bulbs, household
kitchen utensil: cooking tool, kitchen gadget, household
seasonal products: seasonal items, holiday products, household
cleaner: cleaning agent, detergent cleaner, household
bathroom cleaner: toilet cleaner, bathroom spray, household
house keeping products: household cleaning, home care products, household
kitchen towels: dish towels, kitchen cloths, household
dish cleaner: dish soap, dish detergent, household
abrasive cleaner: scrubber, heavy-duty cleaner, household
toilet cleaner: bathroom cleaner, toilet bowl cleaner, household
dishes: crockery, tableware, household
cookware: kitchenware, cooking pots, household
decalcifier: descaler, scale remover, household
detergent: laundry detergent, cleaning detergent, household
meat spreads: pâté, spreadable meat, meats
hamburger meat: ground beef, minced beef, meats
pork: pig meat, sow meat, meats
frankfurter: frankfurter sausage, wiener, meats
turkey: turkey meat, roast turkey, meats
sausage: sausages, link sausage, meats
fish: seafood, ocean catch, meats
meat: protein meat, animal meat, meats
cat food: pet food, feline food, pet
dog food: canine food, pet chow, pet
napkins: serviettes, paper towels, household
specialty cheese: gourmet cheese, artisanal cheese, dairy
pot plants: potted plants, indoor plants, garden
organic sausage: organic meat sausage, natural sausage, meats
organic products: organic food, natural products, misc
pet care: pet supplies, animal care, pet
newspapers: newsprint, daily papers, misc
tidbits: snack bites, small treats, sweets
cooking chocolate: baking chocolate, cocoa-based chocolate, sweets
ready soups: instant soup, pre-made soup, misc
jam: fruit jam, preserve, misc
canned fruit: tinned fruit, preserved fruit, misc
specialty fat: gourmet fat, premium fat, misc
oil: cooking oil, edible oil, misc
herbs: fresh herbs, culinary herbs, misc
baking powder: leavening agent, rising agent, misc
flour: all-purpose flour, plain flour, misc
cereals: breakfast cereal, morning cereal, misc
preservation products: preservatives, preservation agents, misc
canned fish: tinned fish, preserved fish, misc
mayonnaise: mayo, sandwich spread, misc
rice: steamed rice, boiled rice, misc
sugar: granulated sugar, white sugar, misc
salt: table salt, cooking salt, misc
sauces: condiments, liquid condiments, misc
curd cheese: cheese curd, fresh curd, dairy
pudding powder: instant pudding, dessert mix, misc
artif. sweetener: artificial sweetener, sugar substitute, misc
instant food products: instant meals, ready-to-eat meals, misc
bulgur wheat: cracked wheat, bulgur, misc
quinoa pasta: gluten-free pasta, quinoa noodles, misc
gnocchi: potato dumplings, Italian dumplings, pasta
